,Department,CourseNumber,CourseName,StudentCount,AvgGPA
467,ECE,205,Electrical & Electronic Ckts,222,2.99
468,ECE,206,Electrical & Electronics Lab,89,3.94
469,ECE,210,Analog Signal Processing,305,2.61
470,ECE,220,Computer Systems & Programming,276,2.85
471,ECE,310,Digital Signal Processing,198,2.98
472,ECE,311,Digital Signal Processing Lab,133,3.52
473,ECE,313,Probability with Engrg Applic,231,2.63
474,ECE,314,Probability in Engineering Lab,74,3.81
475,ECE,316,Ethics and Engineering,63,3.47
476,ECE,317,ECE Technology & Management,29,3.52
477,ECE,329,Fields and Waves I,115,2.69
478,ECE,330,Power Ckts & Electromechanics,104,2.6
479,ECE,333,Green Electric Energy,68,3.17
480,ECE,340,Semiconductor Electronics,128,2.67
481,ECE,342,Electronic Circuits,107,2.78
482,ECE,343,Electronic Circuits Laboratory,29,3.9
483,ECE,350,Fields and Waves II,32,3.22
484,ECE,365,Data Science and Engineering,36,3.29
485,ECE,385,Digital Systems Laboratory,337,3.16
486,ECE,391,Computer Systems Engineering,198,2.93
487,ECE,402,Electronic Music Synthesis,46,3.62
488,ECE,408,Applied Parallel Programming,95,2.93
489,ECE,411,Computer Organization & Design,139,2.8
490,ECE,418,Image & Video Processing,47,3.41
491,ECE,420,Embedded DSP Laboratory,52,3.67
492,ECE,431,Electric Machinery,54,3.15
493,ECE,444,IC Device Theory & Fabrication,45,3.06
494,ECE,445,Senior Design Project Lab,216,3.04
495,ECE,470,Introduction to Robotics,99,3.2
496,ECE,481,Nanotechnology,37,3.65
497,ECE,483,Analog IC Design,42,3.28
498,ECE,486,Control Systems,75,3.48
499,ECE,490,Introduction to Optimization,31,3.03
500,ECE,498,Smartphone Computing and Appli,128,3.06
501,ECE,511,Computer Architecture,28,3.43
502,ECE,515,Control System Theory & Design,27,3.74
503,ECE,534,Random Processes,46,3.65
504,ECE,543,Statistical Learning Theory,33,3.64
505,ECE,549,Computer Vision,230,3.69
506,ECON,102,Microeconomic Principles,1316,3.43
507,ECON,103,Macroeconomic Principles,1166,3.23
